ordre,x0,x1,x2,x3,y0,y1,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2
3,3,8,7,,3,2,2,0,0,273,255,3,,,9,4009,40
3,3,8,8,,3,2,2,0,0,274,255,3,,,9,4309,43
3,3,8,9,,3,2,2,0,0,275,255,3,,,9,4609,46
2,3,7,,,3,3,0,0,0,276,212,3,,,4,309,30
3,3,7,0,,3,3,0,0,0,277,276,3,,,9,2409,24
4,3,7,0,0,3,3,2,0,0,278,277,,,,0,2409,2
4,3,7,0,1,3,3,2,0,0,279,277,,,,0,5409,5
4,3,7,0,2,3,3,2,0,0,280,277,,,,0,8409,8
4,3,7,0,3,3,3,2,0,0,281,277,,,,0,11409,11
4,3,7,0,4,3,3,2,0,0,282,277,,,,0,14409,14
4,3,7,0,5,3,3,2,0,0,283,277,,,,0,17409,17
4,3,7,0,6,3,3,2,0,0,284,277,,,,0,20409,20
4,3,7,0,7,3,3,2,0,0,285,277,,,,0,23409,23
4,3,7,0,8,3,3,2,0,0,286,277,,,,0,26409,26
4,3,7,0,9,3,3,2,0,0,287,277,,,,0,29409,29
3,3,7,1,,3,3,2,0,0,288,276,3,,,9,2709,27
3,3,7,2,,3,3,2,0,0,289,276,3,,,9,3009,30
3,3,7,3,,3,3,2,0,0,290,276,3,,,9,3309,33
3,3,7,4,,3,3,2,0,0,291,276,3,,,9,3609,36
3,3,7,5,,3,3,2,0,0,292,276,3,,,9,3909,39
3,3,7,6,,3,3,2,0,0,293,276,3,,,9,4209,42
3,3,7,7,,3,3,2,0,0,294,276,3,,,9,4509,45
3,3,7,8,,3,3,2,0,0,295,276,3,,,9,4809,48
3,3,7,9,,3,3,2,0,0,296,276,3,,,9,5109,51
2,3,6,,,3,4,0,0,0,297,212,3,,,4,309,30
3,3,6,0,,3,4,2,0,0,298,297,3,,,9,2709,27
3,3,6,1,,3,4,2,0,0,299,297,3,,,9,3009,30
3,3,6,2,,3,4,2,0,0,300,297,3,,,9,3309,33
3,3,6,3,,3,4,2,0,0,301,297,3,,,9,3609,36
3,3,6,4,,3,4,2,0,0,302,297,3,,,9,3909,39
3,3,6,5,,3,4,2,0,0,303,297,3,,,9,4209,42
3,3,6,6,,3,4,2,0,0,304,297,3,,,9,4509,45
3,3,6,7,,3,4,2,0,0,305,297,3,,,9,4809,48
3,3,6,8,,3,4,2,0,0,306,297,3,,,9,5109,51
3,3,6,9,,3,4,0,0,0,307,297,3,,,9,5409,54
4,3,6,9,0,3,4,2,0,0,308,307,,,,0,41409,41
4,3,6,9,1,3,4,2,0,0,309,307,,,,0,44409,44
4,3,6,9,2,3,4,2,0,0,310,307,,,,0,47409,47
4,3,6,9,3,3,4,2,0,0,311,307,,,,0,50409,50
4,3,6,9,4,3,4,2,0,0,312,307,,,,0,53409,53
4,3,6,9,5,3,4,2,0,0,313,307,,,,0,56409,56
4,3,6,9,6,3,4,2,0,0,314,307,,,,0,59409,59
4,3,6,9,7,3,4,2,0,0,315,307,,,,0,62409,62
4,3,6,9,8,3,4,2,0,0,316,307,,,,0,65409,65
4,3,6,9,9,3,4,2,0,0,317,307,,,,0,68409,68
2,3,5,,,3,5,0,0,0,318,212,3,,,4,309,30
3,3,5,0,,3,5,2,0,0,319,318,3,,,9,2809,28
3,3,5,1,,3,5,2,0,0,320,318,3,,,9,3109,31
3,3,5,2,,3,5,0,0,0,321,318,3,,,9,3409,34
4,3,5,2,0,3,5,2,0,0,322,321,,,,0,13409,13
4,3,5,2,1,3,5,2,0,0,323,321,,,,0,16409,16
4,3,5,2,2,3,5,2,0,0,324,321,,,,0,19409,19
4,3,5,2,3,3,5,2,0,0,325,321,,,,0,22409,22
4,3,5,2,4,3,5,2,0,0,326,321,,,,0,25409,25
4,3,5,2,5,3,5,2,0,0,327,321,,,,0,28409,28
4,3,5,2,6,3,5,2,0,0,328,321,,,,0,31409,31
4,3,5,2,7,3,5,2,0,0,329,321,,,,0,34409,34
4,3,5,2,8,3,5,2,0,0,330,321,,,,0,37409,37
4,3,5,2,9,3,5,2,0,0,331,321,,,,0,40409,40
3,3,5,3,,3,5,2,0,0,332,318,3,,,9,3709,37
3,3,5,4,,3,5,2,0,0,333,318,3,,,9,4009,40
3,3,5,5,,3,5,2,0,0,334,318,3,,,9,4309,43
3,3,5,6,,3,5,2,0,0,335,318,3,,,9,4609,46
3,3,5,7,,3,5,2,0,0,336,318,3,,,9,4909,49
3,3,5,8,,3,5,2,0,0,337,318,3,,,9,5209,52
3,3,5,9,,3,5,2,0,0,338,318,3,,,9,5509,55
2,3,4,,,3,6,0,0,0,339,212,3,,,4,309,30
3,3,4,0,,3,6,2,0,0,340,339,3,,,9,2709,27
3,3,4,1,,3,6,2,0,0,341,339,3,,,9,3009,30
3,3,4,2,,3,6,2,0,0,342,339,3,,,9,3309,33
3,3,4,3,,3,6,2,0,0,343,339,3,,,9,3609,36
3,3,4,4,,3,6,2,0,0,344,339,3,,,9,3909,39
3,3,4,5,,3,6,2,0,0,345,339,3,,,9,4209,42
3,3,4,6,,3,6,2,0,0,346,339,3,,,9,4509,45
3,3,4,7,,3,6,2,0,0,347,339,3,,,9,4809,48
3,3,4,8,,3,6,2,0,0,348,339,3,,,9,5109,51
3,3,4,9,,3,6,0,0,0,349,339,3,,,9,5409,54
4,3,4,9,0,3,6,2,0,0,350,349,,,,0,59409,59
4,3,4,9,1,3,6,2,0,0,351,349,,,,0,62409,62
4,3,4,9,2,3,6,2,0,0,352,349,,,,0,65409,65
4,3,4,9,3,3,6,2,0,0,353,349,,,,0,68409,68
4,3,4,9,4,3,6,2,0,0,354,349,,,,0,71409,71
4,3,4,9,5,3,6,2,0,0,355,349,,,,0,74409,74
4,3,4,9,6,3,6,2,0,0,356,349,,,,0,77409,77
4,3,4,9,7,3,6,2,0,0,357,349,,,,0,80409,80
4,3,4,9,8,3,6,2,0,0,358,349,,,,0,83409,83
4,3,4,9,9,3,6,2,0,0,359,349,,,,0,86409,86
2,3,3,,,3,7,0,0,0,360,212,3,,,4,309,30
3,3,3,0,,3,7,0,0,0,361,360,3,,,9,2409,24
4,3,3,0,0,3,7,2,0,0,362,361,,,,0,2409,2
4,3,3,0,1,3,7,2,0,0,363,361,,,,0,5409,5
4,3,3,0,2,3,7,2,0,0,364,361,,,,0,8409,8
4,3,3,0,3,3,7,2,0,0,365,361,,,,0,11409,11
4,3,3,0,4,3,7,2,0,0,366,361,,,,0,14409,14
4,3,3,0,5,3,7,2,0,0,367,361,,,,0,17409,17
4,3,3,0,6,3,7,2,0,0,368,361,,,,0,20409,20
4,3,3,0,7,3,7,2,0,0,369,361,,,,0,23409,23
4,3,3,0,8,3,7,2,0,0,370,361,,,,0,26409,26
4,3,3,0,9,3,7,2,0,0,371,361,,,,0,29409,29
3,3,3,1,,3,7,2,0,0,372,360,3,,,9,2709,27
3,3,3,2,,3,7,2,0,0,373,360,3,,,9,3009,30
3,3,3,3,,3,7,2,0,0,374,360,3,,,9,3309,33
3,3,3,4,,3,7,2,0,0,375,360,3,,,9,3609,36
3,3,3,5,,3,7,2,0,0,376,360,3,,,9,3909,39
3,3,3,6,,3,7,2,0,0,377,360,3,,,9,4209,42
3,3,3,7,,3,7,2,0,0,378,360,3,,,9,4509,45
3,3,3,8,,3,7,2,0,0,379,360,3,,,9,4809,48
3,3,3,9,,3,7,2,0,0,380,360,3,,,9,5109,51
2,3,2,,,3,8,0,0,0,381,212,3,,,4,309,30
3,3,2,0,,3,8,2,0,0,382,381,3,,,9,1909,19
3,3,2,1,,3,8,2,0,0,383,381,3,,,9,2209,22
3,3,2,2,,3,8,2,0,0,384,381,3,,,9,2509,25
3,3,2,3,,3,8,2,0,0,385,381,3,,,9,2809,28
3,3,2,4,,3,8,2,0,0,386,381,3,,,9,3109,31
3,3,2,5,,3,8,0,0,0,387,381,3,,,9,3409,34
4,3,2,5,0,3,8,2,0,0,388,387,,,,0,43409,43
4,3,2,5,1,3,8,2,0,0,389,387,,,,0,46409,46
4,3,2,5,2,3,8,2,0,0,390,387,,,,0,49409,49
4,3,2,5,3,3,8,2,0,0,391,387,,,,0,52409,52
4,3,2,5,4,3,8,2,0,0,392,387,,,,0,55409,55
4,3,2,5,5,3,8,2,0,0,393,387,,,,0,58409,58
4,3,2,5,6,3,8,2,0,0,394,387,,,,0,61409,61
4,3,2,5,7,3,8,2,0,0,395,387,,,,0,64409,64
4,3,2,5,8,3,8,2,0,0,396,387,,,,0,67409,67
4,3,2,5,9,3,8,2,0,0,397,387,,,,0,70409,70
3,3,2,6,,3,8,2,0,0,398,381,3,,,9,3709,37
3,3,2,7,,3,8,2,0,0,399,381,3,,,9,4009,40
3,3,2,8,,3,8,2,0,0,400,381,3,,,9,4309,43
3,3,2,9,,3,8,2,0,0,401,381,3,,,9,4609,46
2,3,1,,,3,9,0,0,0,402,212,3,,,4,309,30
3,3,1,0,,3,9,2,0,0,403,402,3,,,9,1209,12
3,3,1,1,,3,9,2,0,0,404,402,3,,,9,1509,15
3,3,1,2,,3,9,2,0,0,405,402,3,,,9,1809,18
3,3,1,3,,3,9,2,0,0,406,402,3,,,9,2109,21
