ordre,x0,x1,x2,x3,x4,y0,y1,y2,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2,nombre,x,y,ID_RESOLUTION,a2,b2
4,3,4,0,0,0,9,0,4,1,1,1,11560,11559,9,,0,1,17587,17,17587,43,409,10101,0,
4,9,0,4,0,0,3,4,0,1,1,1,37782,37781,3,,0,1,17587,17,17587,409,43,10101,0,
4,1,4,2,0,0,3,7,0,1,1,1,7782,7781,3,,0,1,17593,17,17593,241,73,10101,0,
4,3,7,0,0,0,1,4,2,1,1,1,15782,15781,1,,0,1,17593,17,17593,73,241,10101,0,
4,1,0,7,3,0,5,0,0,1,1,1,371,370,5,,0,1,18505,18,18505,3701,5,10101,0,
4,3,8,0,0,0,3,2,2,1,1,1,13560,13559,3,,0,1,18509,18,18509,83,223,10101,0,
4,3,2,2,0,0,3,8,0,1,1,1,20004,20003,3,,0,1,18509,18,18509,223,83,10101,0,
4,3,7,1,0,0,7,0,1,1,1,1,11227,11226,7,,1,1,8511,8,18511,173,107,10101,0,
4,7,0,1,0,0,3,7,1,1,1,1,30115,30114,3,,1,1,8511,8,18511,107,173,10101,0,
4,3,7,1,6,0,3,0,0,1,1,1,11182,11181,3,,0,1,18519,18,18519,6173,3,10101,0,
